Series Number,Filename,Name,Description,Gender,UUID
TEAM BEVEL,,,,,
1,adewale-the-amebo,adewale the amebo,Adewale always wants to be in everyone's business.,male,cad316c3-37f8-4b27-9f53-9d803bfcfee7
2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,male,a57ecda4-a26f-4e97-a757-e1800af39aab
3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,female,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de
4,aminu-the-carpenter,aminu the carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,4f30b751-96e7-40fe-97fd-e3d44973ff2f
5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,male,5ce854f2-7ac1-46fd-b3fe-57583935d1e5
6,chidinma-the-model,chidinma the model,"From Paris' runways, to London's streets, she's always in demand.",female,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45
7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,female,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7
8,damilare-the-handsome,damilare the handsome,He's a fine boy. Everyone loves his face(and him).,male,27eca2dc-d7df-474a-8f8f-1858152c711e
9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,male,f1df8270-4d60-4bd4-8959-ba7c384db5c4
10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,male,9b3d75da-4887-4089-aee4-50de3954fdc9
11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb
12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,male,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b
13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him even still.,male,dfbb4163-df24-4d54-b74c-6218a68df8bd
14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,male,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7
15,nina-paper-chaser,nina paper chaser,Nina na Igbo girl wey like money. Finish.,female,59524227-dc52-407c-8cca-e9e8c5fb3018
16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,808f7007-6552-4efa-bd13-4b7c337b102b
17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,male,ba3edda7-8940-4ca4-97ba-826398d5909f
18,tiwa-london,tiwa london,"If she says she's in London and you see her, you're in London too.",female,78da7aeb-8352-4e25-89ac-dc48b5984089
19,tunde-yoruba-demon,tunde yoruba demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,53b46bd7-a537-402b-b249-0b4074a8faae
20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,male,4adb6781-1614-424e-8f77-fe59ffca2209
,,,,,
TEAM CLUTCH,,,,,
21,abdul-the-vibe,why ????,abdul the life of the party and can never be caught unfresh,male,770f817a-9d9a-4772-9a91-e66dd9d03470
22,emeka-the -clown,,"emeka the funny man, always making silly jokes",male,78810fa6-a7ef-4d83-bf57-caf49db4ee69
23,salam-the-odogwu,,salam is a big time textile marketer always sourcing for quality materials,male,f2957ded-022c-4b07-92c6-b345d4816a67
24,charles-the-exporter,,charles a business man an importer and exporter never to be caught idle,male,09395e76-19ed-4852-8748-795ee7496a8e
25,,,wole knows all the babes in town and is always pimping them out,male,4d94d4f7-9b69-4e43-9db1-1fe83df92857
26,,,saro is a baller and is always ready to turnup,male,d35a7514-8996-42fb-a5f2-5a603ec679c5
27,,,ade a yourba man takes pride in the yourba tribe,male,92984fa0-310b-4377-8a10-15965d044383
28,,,shola prefers to be alone because he hates stress,male,3ac5c186-bc14-4eb6-8567-cc818465a64f
29,,,charlie uses smoking as a coping mechanism,male,71a0aa22-d111-43b7-8484-43d87310bc42
30,,,femi is the biggest guy in lagos and he has served plenty babes breakfast,male,e493e3fb-a8a0-455a-854f-0f6474bbc69f
31,,,sinzu loves spending money on flashy things,male,942f8347-9932-4331-bd15-d0f3a048b54f
32,,,obinna taps palmwine for a living,male,0f1af056-2548-4407-bed4-abc11deae05d
33,,,aminu is a wealthy man from a family with generational wealth. His exquisite taste shows it,male,0129e7a5-e3d0-4675-92d0-1a1e55d11612
34,sabinus-the-town crier,,sabinus delivers messages to his town people,male,01d4ce96-818e-44b1-8813-68a7d34b35ba
35,adisa-ibadan,,"adisa the greatest man in thw whole town of ibadan, is authority can never be questioned",male,3a925f27-35f6-4dbf-9960-c6527fae5f3e
36,linda-the-navigator,,linda knows how to make a way for herself and people around her,female,71f335a6-5a4f-4410-9cea-179336f0e498
37,kemi-the-iron lady,,kemi the strongest woman known to the town of  igbede people,female,35b11a31-5b92-49f4-8fb1-30f255d22054
38,mercy-the-sassy lady,,mercy only care about spending her father's money and treats people like trash,female,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f
39,,,sandra likes getting and spending money,female,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca
40,bimpe-the-fashionista,,bimpe loves wearing trendy clothes and looking gorgeous,female,92b548b7-998b-46b6-8198-80d407209483
,,,,,
TEAM ENGINE,,,,,
41,kim-rich-aunty,kim rich aunty,she loves spoiling her nieces and nephew,,3344a73c-f15e-4afd-a1b2-3199e27eb08f
42,barbra-vampire-bc,barbra vampire bc,she loves drinking the blood of her victims,,4f31fd99-4918-42a9-a112-fa60ef36d5c6
43,jean-art-dolger,jean art dolger,loves collecting art for charity ,,5e1105d9-e485-462d-a5bf-1eb931976b13
44,flora-burger- eater,flora-burger- eater,she loves eating burgers,,054dffd1-cdff-417b-b6c2-a679dabd087b
45,jessie-lord-rings,jessie-lord-rings,she seeks her 'precious',,caacabe1-0abc-43af-92e2-2231248bff93
46,pinky-monky-ponk,pinky-monky-ponk,she love to dance the honky tonk,,bd6a4b38-543e-40fa-9153-f7e1a947ebb1
47,wanjiru-hippie-glitter,wanjiru-hippie-glitter,a hippie that loves her glitters,,683f0d27-3cb4-4948-b1b5-09f10bee575a
48,njoki-binary-coder,njoki-binary-coder,she codes with the best and tops the set,,9b59bdb4-0c6c-4107-9d72-6d38d308edb4
49,wangu-calaba-hustler,wangu-calaba-hustler,she's a mean hustler so be careful,,67f7da93-3925-4def-b660-58f558c14a19
50,lulu-dey-kpako,lulu-dey-kpako,she's as skinny as she is beautiful,,23b6c38f-ab84-4565-bfe9-d9eb019c9f29
51,kiki-cala-flier,kiki-cala-flier,she flies first class and gets the best deals,,d24aefff-c9fc-4ea9-a7cf-1b741076c822
52,purity-nft -investor,purity-nft -investor,she is an angel investor looking for the next big thing,,ee86ef77-4793-411a-88d3-ea54d84f6b24
53,june-binary-monk,june-binary-monk,she has a twin thats from Tibet ,,102c4cdb-f812-44fd-bf47-5065284c6075
54,aisha-crows-damsel,aisha-crows-damsel,she is always a damsel in distress,,c4071af3-b49e-4ad6-898b-7828f90465fb
55,bobo-crypto-lovely,bobo-crypto-lovely,she is a crpto guru you can trust all through,,427ea0f5-30a3-4d70-a5bd-a6106409b83c
56,nell-light -embrace,nell-light -embrace,she is an empath; ready with a kind word or hug,,9dfe30b4-c71a-471c-8091-f5c4a238eed8
